# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-05-01 / 2025-05-31
# Generado: 2026-05-07 14:50:50 UTC
# Timestamps: 1194  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Radiación PAR[µmol/m2/s]	Dirección de la corriente[°]	Velocidad de la corriente[m/s]	Dirección de Olas[°]	Periodo de Olas[s]
2025-05-02 01:30:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 01:40:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 01:50:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 02:00:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 02:10:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 02:20:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 15:30:00	0.38	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 15:40:00	0.89	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 15:50:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:00:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:10:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:20:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:30:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:40:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 16:50:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:00:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:10:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:20:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:30:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:40:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 17:50:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:00:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:10:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:20:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:30:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:40:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 18:50:00	0.35	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:00:00	0.33	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:10:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:20:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:30:00	0.36	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:40:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 19:50:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:00:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:10:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:20:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:30:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:40:00	0.32	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 20:50:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:00:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:10:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:20:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:30:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:40:00	0.77	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 21:50:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:00:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:10:00	0.71	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:20:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:30:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:40:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 22:50:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:00:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:10:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:20:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:30:00	0.71	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:40:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-03 23:50:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:00:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:10:00	0.83	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:20:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:30:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:40:00	1.06	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 00:50:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:00:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:10:00	0.32	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:20:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:30:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:40:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 01:50:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:00:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:10:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:20:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:30:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:40:00	0.39	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 02:50:00	0.79	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:00:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:10:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:20:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:30:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:40:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 03:50:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:00:00	0.39	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:10:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:20:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:30:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:40:00	0.39	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 04:50:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:00:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:10:00	0.38	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:20:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:30:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:40:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 05:50:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:00:00	0.36	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:10:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:20:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:30:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:40:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 06:50:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:00:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:10:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:20:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:30:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:40:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 07:50:00	0.73	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 08:00:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 08:10:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 08:20:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 08:30:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
